word,phonetic,chinese,example
"throughout","[θru:'aut]","prep.遍及ad.到处",""
"throw","[θrәu]","vt.投；掷",""
"Thursday","['θә:zdi]","n.星期四",""
"thus","[ðʌs]","ad.如此；这样;因而",""
"ticket","['tikit]","n.票；券",""
"tie","[tai]","n.领带;联系；束缚vt.系；束缚；连接",""
"title","['taitl]","n.标题；题目;称号，头衔",""
"tomorrow","[tә'mɔrәu]","n.明天；未来ad.在明天",""
"tonight","[tә'nait]","n.今夜",""
"touch","[tʌtʃ]","n.触摸，接触；一点，少许；联系vt.触摸；感动vi.触摸，接触",""
"tough","[tʌf]","a.坚韧的；健壮的",""
"tour","[tuә]","n.旅行vi.旅行；游历",""
"track","[træ k]","n.行踪；路径;轨道",""
"traditional","[trә'diʃәnl]","a.传统的",""
"train","[trein]","vt.训练n.列车;队列",""
"transfer","[træ ns'fә:]","vt.转移；调动；转让，过户 vi.转移；转学；转车",""
"transport","[træ ns'pɔ:t]","n.运输vt.运输",""
"travel","['træ vl]","vi.旅行 n.旅行",""
"treat","[tri:t]","vt.对待；处理n.款待",""
"treatment","['tri:tmәnt]","n.待遇;治疗；疗法",""
"treaty","['tri:ti]","n.条约；协定",""
"tree","[tri:]","n.树",""
"trial","['traiәl]","n.试验;审判",""
"trip","[trip]","vi.绊；失足 vt .绊倒 n.旅行",""
"troop","[tru:p]","n.军队",""
"trouble","['trʌbl]","n.烦恼;困难vi.烦恼",""
"TRUE","[tru:]","a.真的",""
"trust","[trʌst]","n.信任 ，依赖vt.信任；委托",""
"truth","[tru:θ]","n.真理;事实",""
"Tuesday","['tju:zdi]","n.星期二",""
"TV","['ti:'vi:]","n.电视",""
"twelfth","[twelfθ]","num.第十二",""
"twentieth","['twentiiθ]","num.第二十",""
"type","[taip]","n.类型 vi.打字",""
"unit","['ju:nit]","n.单位;单元;部件",""
"unless","['ʌn'les]","conj.除非",""
"unlikely","[ʌn'laikli]","a.不太可能的",""
"upon","[ә'pɔn]","prep.在…上",""
"urge","[ә:dʒ]","vt.推进;催促 n.冲动",""
"use","[ju:z, ju:s]","vt.用；使用 n.使用；利用;用途",""
"used","[ju:zd, ju:st]","a.用旧了的;习惯于…的",""
"useful","['ju:zful]","a.有用的；有益的",""
"usual","['ju:ʒuәl]","a.通常的；平常的",""
"usually","['ju:ʒuәli]","ad.通常",""
"variety","[vә'raiәti]","n.多样化；种类",""
"various","['vɛәriәs]","a.各种各样的",""
"vehicle","['vi:ikl]","n.车辆",""
"version","['vә:ʃәn]","n.版本；译本",""
"victim","['viktim]","n.牺牲者；受害者",""
"victory","['viktәri]","n.胜利；战胜",""
"video","['vidiәu]","n.录像 a.视频的",""
"village","['vilidʒ]","n.乡村；村庄",""
"violence","['vaiәlәns]","n.猛烈;暴力",""
"voice","[vɔis]","n.说话声",""
"volume","['vɔljum]","n.卷；册;容积;音量",""
"voter","['vәutә]","n. 选民；投票人",""
"warm","[wɔ:m]","a.温暖的;热情的",""
"warn","[wɔ:n]","vt.警告vi.发出警告",""
"waste","[weist]","n.浪费;废物；垃圾vt.浪费",""
"wave","[weiv]","n.波；波涛；起伏vi.波动；挥手",""
"weak","[wi:k]","a.弱的；软弱的",""
"weapon","['wepәn]","n.武器",""
"wear","[wɛә]","vt.穿戴;磨损",""
"weather","['weðә]","n.天气",""
"Wednesday","['wenzdi]","n.星期三",""
"weekend","['wi:kend]","n.周末",""
"weight","[weit]","n.重量",""
"welcome","['welkәm]","int.欢迎n.欢迎vt.欢迎",""
"we'll","[]","n. 我们将",""
"weren't","[]","prep. 不 是",""
"whatever","[wɔt'evә]","pron.无论怎样",""
"what's","[wCts, hwCts]","((口语))what is[has]之略",""
"while","[wail]","conj.当…的时候;而",""
"whom","[hu:m]","pron.谁",""
"who's","[]","who is [has；does] 之 略",""
"wild","[waild]","a.野生的;野蛮的 n.荒地",""
"will","[wil]","aux.将要；会;愿意n.意志；遗嘱",""
"willing","['wiliŋ]","a.心甘情愿的",""
"wind","[wind, waind]","n.风",""
"window","['windәu]","n.窗户",""
"wine","[wain]","n.葡萄酒",""
"wing","[wiŋ]","n.翅膀",""
"winner","['winә]","n.获胜者，成功者，优胜者",""
"wish","[wiʃ]","vt.祝;想要 n.希望",""
"with","[wið]","prep.和；与；跟",""
"withdraw","[wið'drɔ:]","vt.收回;撤退vi.撤退",""
"wonder","['wʌndә]","n.奇迹；惊奇vt.惊奇;想知道",""
"wonderful","['wʌndәful]","a.惊人的；极好的",""
"wood","[wud]","n.树林；森林;木头",""
"worry","['wʌri]","vt.使烦恼 vi.发愁",""
"worth","[wә:θ]","a.值得的n.价值",""
"wound","[wu:nd]","n.创伤；伤口vt.使受伤；伤害",""
"writing","['raitiŋ]","n.书写；著作",""
"wrong","[rɔŋ]","a.错误的 ad.错误地",""
"yard","[ja:d]","n.码",""
"yourself","[jɔ:'self]","pron.你自己",""
"youth","[ju:θ]","n.青春;青年",""
"recognition","[rekә^'niʃәn]","n.认出；识别",""
